Source,Target,Method,Layer_Config,Layer,InDist_AUC,OutDist_AUC,Recovered_AUC,Recovered_MAP,Recovered_BRP_90
race,got_larger_than,Grouped Logistic Regression,Best,17,0.759952,0.49399363307517785,0.650032677162739,0.9691352571741754,0.0
race,imdb,Grouped Logistic Regression,Best,17,0.759952,0.7392520000000001,0.972761437564478,1.5789549919703967,26.125
race,amazon_polarity,Grouped Logistic Regression,Best,17,0.759952,0.541888,0.7130555614038783,1.0290225246672684,0.125
race,ag_news,Grouped Logistic Regression,Best,17,0.759952,0.8126293333333333,1.0693166585959815,1.1591362497338507,2.75
race,dbpedia_14,Grouped Logistic Regression,Best,17,0.759952,0.8143708093869733,1.0716082191861767,0.4044288924946106,0.0
race,rte,Grouped Logistic Regression,Best,17,0.759952,0.6941443261348382,0.9134054863133965,1.3978656023286598,6.0920577617328515
race,copa,Grouped Logistic Regression,Best,17,0.759952,0.6975,0.9178211255447714,1.262983488571691,0.625
race,boolq,Grouped Logistic Regression,Best,17,0.759952,0.774052,1.0185538033981094,1.5440948243008112,12.375
arc_easy,commonsense_qa,Grouped Logistic Regression,Best,15,0.8784538954753769,0.7855843749999999,0.8942807118805928,0.7128486000905159,0.0
arc_easy,race,Grouped Logistic Regression,Best,15,0.8784538954753769,0.7495626666666666,0.8532749077981371,0.6997498806855295,0.18109090909090908
arc_easy,arc_easy,Grouped Logistic Regression,Best,15,0.8784538954753769,0.8784538954753769,1.0,1.0,1.0
arc_easy,arc_challenge,Grouped Logistic Regression,Best,15,0.8784538954753769,0.6940249682179161,0.7900528095926347,0.6313311131171432,0.030061571894241215
arc_easy,open_book_qa,Grouped Logistic Regression,Best,15,0.8784538954753769,0.6598826666666667,0.7511864539112437,0.5733531048012973,0.18109090909090908
arc_easy,got_cities,Grouped Logistic Regression,Best,15,0.8784538954753769,0.9745667636070537,1.1094113972591189,1.3795941831936016,7.122112211221121
arc_easy,got_sp_en_trans,Grouped Logistic Regression,Best,15,0.8784538954753769,0.504756242568371,0.574596168527685,0.7794528455195717,0.13009404388714732
arc_easy,got_larger_than,Grouped Logistic Regression,Best,15,0.8784538954753769,0.6976003845950906,0.7941229336999899,0.9824917872838586,0.7125247633722209
arc_easy,imdb,Grouped Logistic Regression,Best,15,0.8784538954753769,0.9877279999999999,1.12439367061545,1.3915263270466267,7.28890909090909
arc_easy,amazon_polarity,Grouped Logistic Regression,Best,15,0.8784538954753769,0.797248,0.9075581588360625,1.152197823835321,3.4105454545454545
arc_easy,ag_news,Grouped Logistic Regression,Best,15,0.8784538954753769,0.8723253333333334,0.9930234675108054,0.995066046919841,0.9356363636363636
arc_easy,dbpedia_14,Grouped Logistic Regression,Best,15,0.8784538954753769,0.9762033045977011,1.1112743760666313,1.0965772341572717,0.9431818181818181
arc_easy,rte,Grouped Logistic Regression,Best,15,0.8784538954753769,0.5470552203208696,0.6227477880610112,0.7810961533952563,0.272399081063341
arc_easy,copa,Grouped Logistic Regression,Best,15,0.8784538954753769,0.6874,0.7825111864613137,0.9036468651596514,0.0
arc_easy,boolq,Grouped Logistic Regression,Best,15,0.8784538954753769,0.6055079999999999,0.6892883088330187,0.8641832136390015,0.18109090909090908
arc_challenge,commonsense_qa,Grouped Logistic Regression,Best,15,0.6959664679067441,0.717909375,1.0315286843621265,0.9014633553548707,0.0
arc_challenge,race,Grouped Logistic Regression,Best,15,0.6959664679067441,0.698304,1.0033586849382077,0.9960383567233575,0.0
arc_challenge,arc_easy,Grouped Logistic Regression,Best,15,0.6959664679067441,0.7894694624035423,1.1343498556446647,1.2353515293424266,0.0
arc_challenge,arc_challenge,Grouped Logistic Regression,Best,15,0.6959664679067441,0.6959664679067441,1.0,1.0,0.0
arc_challenge,open_book_qa,Grouped Logistic Regression,Best,15,0.6959664679067441,0.6563893333333334,0.9431335611722117,1.0124828247299298,0.0
arc_challenge,got_cities,Grouped Logistic Regression,Best,15,0.6959664679067441,0.49019159341676743,0.7043321999278428,1.147174332243768,0.0
arc_challenge,got_sp_en_trans,Grouped Logistic Regression,Best,15,0.6959664679067441,0.5324019024970273,0.7649821177424405,1.3296114009180602,0.0
arc_challenge,got_larger_than,Grouped Logistic Regression,Best,15,0.6959664679067441,0.5517767003382794,0.7928208121834609,1.3555794538444959,0.0
arc_challenge,imdb,Grouped Logistic Regression,Best,15,0.6959664679067441,0.984244,1.4142118124746832,2.294583678947116,0.0
arc_challenge,amazon_polarity,Grouped Logistic Regression,Best,15,0.6959664679067441,0.9349799999999999,1.3434267929777364,2.170923853692669,0.0
arc_challenge,ag_news,Grouped Logistic Regression,Best,15,0.6959664679067441,0.7806773333333333,1.121716877655577,1.4616320939182137,0.0
arc_challenge,dbpedia_14,Grouped Logistic Regression,Best,15,0.6959664679067441,0.7666277538314176,1.1015297276278284,0.309013512855234,0.0
arc_challenge,rte,Grouped Logistic Regression,Best,15,0.6959664679067441,0.6428208369716796,0.923637655855877,1.6163275378493736,0.0
arc_challenge,copa,Grouped Logistic Regression,Best,15,0.6959664679067441,0.6925000000000001,0.9950192026964028,1.661678121959825,0.0
arc_challenge,boolq,Grouped Logistic Regression,Best,15,0.6959664679067441,0.7177080000000001,1.0312393385253862,1.655978404898525,0.0
