Dataset,Method,Layer,Metric,Mean A,Mean B,W-Statistic,P-Value,Significant (p<0.05)
commonsense_qa,PCA,11,Macro F1,0.5103622243592241,0.5104325313399137,232.0,1.0,False
commonsense_qa,PCA,13,AUC,0.5241488,0.5187008000000001,0.0,1.7333066441991056e-06,True
commonsense_qa,PCA,13,Macro F1,0.5130489365406773,0.5107383573858068,152.0,0.09776332052059278,False
commonsense_qa,PCA,15,AUC,0.5336351999999999,0.5267338666666668,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,15,Macro F1,0.5110699665829532,0.5032780856477304,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,17,AUC,0.5611258666666666,0.6040565333333333,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,17,Macro F1,0.5520243673006475,0.5790390183021548,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,19,AUC,0.6263434666666666,0.6657269333333332,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,19,Macro F1,0.5927339212065256,0.6221091349075354,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,21,AUC,0.6499722666666666,0.6968,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,21,Macro F1,0.6061761649681413,0.6349319879553436,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,23,AUC,0.7080975999999999,0.7276714666666668,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,23,Macro F1,0.6464041366055315,0.6625724009914492,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,25,AUC,0.6927989333333335,0.7148997333333333,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,25,Macro F1,0.6282810512301418,0.6467023661843728,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,27,AUC,0.7455317333333332,0.7450010666666667,187.0,0.3598779272288084,False
commonsense_qa,PCA,27,Macro F1,0.6864770408774793,0.6696948163646648,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,29,AUC,0.7479327999999998,0.7417664,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,29,Macro F1,0.67784306668521,0.6759171589228944,162.0,0.15188691951334476,False
commonsense_qa,PCA,31,AUC,0.7424634666666665,0.7402848,28.0,2.7623027563095093e-06,True
commonsense_qa,PCA,31,Macro F1,0.6882040481146824,0.6784061380290886,18.0,4.7124922275543213e-07,True
commonsense_qa,PCA-G,1,AUC,0.5036213333333334,0.5034624000000001,186.0,0.4957887064737012,False
commonsense_qa,PCA-G,1,Macro F1,0.49087722152535374,0.4874651654884881,53.0,0.00037509047363186817,True
commonsense_qa,PCA-G,3,AUC,0.48896906666666673,0.48646079999999997,57.0,0.000306387109293369,True
commonsense_qa,PCA-G,3,Macro F1,0.49569705697499966,0.4941461205787902,166.0,0.17719271034002304,False
commonsense_qa,PCA-G,5,AUC,0.4861807999999999,0.5150528,86.0,0.0018640067428350449,True
commonsense_qa,PCA-G,5,Macro F1,0.48334770124269866,0.5238508471599882,34.0,6.917864084243774e-06,True
commonsense_qa,PCA-G,7,AUC,0.5070981333333333,0.5062149333333333,47.0,0.00013583661444420585,True
commonsense_qa,PCA-G,7,Macro F1,0.5016289319383632,0.503903899299412,110.0,0.02009902604880586,True
commonsense_qa,PCA-G,9,AUC,0.4983685333333333,0.5006090666666666,213.0,0.7000329215079546,False
