Dataset,Condition,Method,Algorithm,Layer,AUC,MAP,BRP_90
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,19,0.9298240000000001,0.9295602060880856,0.774
commonsense_qa,Setup A (Balanced),White Box,LR-G,21,0.939452,0.9371101090366768,0.844
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,21,0.929476,0.9295034221384649,0.782
commonsense_qa,Setup A (Balanced),White Box,LR-G,23,0.9401719999999999,0.9379364497123556,0.83
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,23,0.920668,0.9211938937464487,0.716
commonsense_qa,Setup A (Balanced),White Box,LR-G,25,0.938692,0.9371275322716354,0.81
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,25,0.910664,0.912002715578742,0.706
commonsense_qa,Setup A (Balanced),White Box,LR-G,27,0.9353239999999999,0.9334392778367397,0.816
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,27,0.90648,0.9087877849374029,0.676
commonsense_qa,Setup A (Balanced),White Box,LR-G,29,0.934928,0.9330686699880196,0.798
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,29,0.900232,0.9016378757989101,0.642
commonsense_qa,Setup A (Balanced),White Box,LR-G,31,0.93248,0.929903537091759,0.8
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,31,0.8982719999999998,0.8981547894809595,0.612
arc_challenge,Setup A (Balanced),Black Box,BB,N/A,0.7047012896947461,0.6916816053224925,0.016722408026755852
arc_challenge,Setup B (Imbalanced),Black Box,BB,N/A,0.6931801657699579,0.6771930554660096,0.013377926421404682
arc_challenge,Setup A (Balanced),White Box,LR,1,0.5444458115681032,0.5444229190575276,0.0
arc_challenge,Setup B (Imbalanced),White Box,LR,1,0.5382154562029509,0.544653463898236,0.0033444816053511705
arc_challenge,Setup A (Balanced),White Box,LR,3,0.5579691502332189,0.5580139340000461,0.0
arc_challenge,Setup B (Imbalanced),White Box,LR,3,0.5585619847652711,0.5646491812044261,0.010033444816053512
arc_challenge,Setup A (Balanced),White Box,LR,5,0.5756982584087427,0.5811320728887287,0.0
arc_challenge,Setup B (Imbalanced),White Box,LR,5,0.5621078064003759,0.5676990753271675,0.006688963210702341
arc_challenge,Setup A (Balanced),White Box,LR,7,0.5755640317222402,0.5865552363611259,0.0
arc_challenge,Setup B (Imbalanced),White Box,LR,7,0.5516157537387726,0.5728340999532093,0.020066889632107024
arc_challenge,Setup A (Balanced),White Box,LR,9,0.5898368027203276,0.6047694835469424,0.04013377926421405
arc_challenge,Setup B (Imbalanced),White Box,LR,9,0.5695909441728839,0.5891579896815905,0.020066889632107024
arc_challenge,Setup A (Balanced),White Box,LR,11,0.6209102806456304,0.6251187646360674,0.043478260869565216
