,,,AUC,AUC,Accuracy,Accuracy,Macro F1,Macro F1,Recall (True),Recall (True)
Condition,,,Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced)
Dataset,Method,Algorithm,,,,,,,,
dbpedia_14,White Box (Probes),LR-G,0.999288113475407,0.999288113475407,0.9931505700871898,0.9931505700871898,0.9931504465031435,0.9931504465031435,0.9934529111067928,0.9934529111067928
dbpedia_14,White Box (Probes),PCA,0.7123762523211123,0.7123762523211123,0.6689553990610329,0.6689553990610329,0.6673232100174604,0.6673232100174604,0.6931845662218767,0.6931845662218767
dbpedia_14,White Box (Probes),PCA-G,0.9625555143962948,0.9625556999503391,0.8976525821596244,0.8976525821596244,0.8969103783666774,0.8969103783666774,0.9228193688733428,0.9228193688733428
open_book_qa,Black Box (Logprobs),CCS,0.7327205333333333,0.7137386666666666,0.6620666666666667,0.5805333333333333,0.6576045055456723,0.5390455908117477,0.7749333333333334,0.2810666666666667
open_book_qa,Black Box (Logprobs),DIM,0.7327205333333333,0.7137386666666666,0.6620666666666667,0.5805333333333333,0.6576045055456723,0.5390455908117477,0.7749333333333334,0.2810666666666667
open_book_qa,Black Box (Logprobs),LAT,0.7327205333333333,0.7137386666666666,0.6620666666666667,0.5805333333333333,0.6576045055456723,0.5390455908117477,0.7749333333333334,0.2810666666666667
open_book_qa,Black Box (Logprobs),LDA,0.7327205333333333,0.7137386666666666,0.6620666666666667,0.5805333333333333,0.6576045055456723,0.5390455908117477,0.7749333333333334,0.2810666666666667
open_book_qa,Black Box (Logprobs),LR,0.7327205333333333,0.7137386666666666,0.6620666666666667,0.5805333333333333,0.6576045055456723,0.5390455908117477,0.7749333333333334,0.2810666666666667
open_book_qa,Black Box (Logprobs),LR-G,0.7327205333333333,0.7137386666666666,0.6620666666666667,0.5805333333333333,0.6576045055456723,0.5390455908117477,0.7749333333333334,0.2810666666666667
open_book_qa,Black Box (Logprobs),PCA,0.7327205333333333,0.7137386666666666,0.6620666666666667,0.5805333333333333,0.6576045055456723,0.5390455908117477,0.7749333333333334,0.2810666666666667
open_book_qa,Black Box (Logprobs),PCA-G,0.7327205333333333,0.7137386666666666,0.6620666666666667,0.5805333333333333,0.6576045055456723,0.5390455908117477,0.7749333333333334,0.2810666666666667
open_book_qa,White Box (Probes),CCS,0.6593905666666667,0.6457099166666667,0.6151791666666667,0.603075,0.6120713002572411,0.6006432995740102,0.6807,0.6581166666666667
open_book_qa,White Box (Probes),DIM,0.6665496,0.6667707,0.6134875,0.6153416666666668,0.6076761231021293,0.6092811966522618,0.7225916666666666,0.7256583333333333
open_book_qa,White Box (Probes),LAT,0.6177423,0.6172667333333333,0.5812833333333334,0.5813041666666667,0.5748628816541086,0.5743009157094658,0.6071416666666667,0.6251083333333334
open_book_qa,White Box (Probes),LDA,0.6303005333333334,0.6243409,0.5961458333333333,0.5910541666666667,0.5957788451783727,0.5878578071052689,0.6028583333333334,0.5088916666666666
